Name,Liver,R-Kidney,Spleen,Pancreas,Aorta,IVC,RAG,LAG,Gallbladder,Esophagus,Stomach,Duodenum,L-Kidney
FLARETs_0037,0.9764010906219482,0.9727450013160706,0.9747579097747803,0.9298175573348999,0.9600430130958557,0.9416981339454651,0.7640825510025024,0.033091671764850616,0.9182368516921997,0.8637451529502869,0.9426607489585876,0.9194294810295105,0.9710314273834229
FLARETs_0032,0.943558394908905,0.9624056220054626,0.8419218063354492,0.7434613108634949,0.899178683757782,0.7965119481086731,0.8023256063461304,1.0,1.0,0.7014710903167725,0.8311232924461365,0.6658672094345093,1.0
FLARETs_0050,0.9702743887901306,0.9642672538757324,0.9702723622322083,0.8523047566413879,0.8507139086723328,0.8812053203582764,0.7788709402084351,0.8111686110496521,0.899876594543457,0.7148056030273438,0.9128866195678711,0.6950730681419373,0.9618983864784241
FLARETs_0007,0.9811811447143555,0.9707756042480469,0.9712401032447815,0.9081838726997375,0.9300323128700256,0.9285902380943298,0.8285553455352783,0.8159977197647095,0.9454114437103271,0.7930545806884766,0.9560543894767761,0.863127589225769,0.45371344685554504
FLARETs_0040,0.9803428649902344,0.97585529088974,0.9815502166748047,0.9340413212776184,0.9545304775238037,0.9257210493087769,0.9003285765647888,0.06823112070560455,0.9493526220321655,0.8629426956176758,0.9629021883010864,0.8810408115386963,0.9756236672401428
FLARETs_0014,0.940726101398468,0.5641182661056519,0.9562456011772156,0.9062227606773376,0.9469022154808044,0.9042325019836426,0.8511407375335693,0.8039970397949219,0.8876035213470459,0.8796484470367432,0.9626896381378174,0.8265260457992554,0.9720839262008667
FLARETs_0039,0.9624937176704407,0.9742972254753113,0.9645434617996216,0.9034969806671143,0.9492344260215759,0.6403823494911194,0.8141351938247681,0.8086097836494446,0.8665444254875183,0.8288548588752747,0.9402285814285278,0.8104236721992493,0.9564382433891296
FLARETs_0049,0.9649572372436523,0.9732196927070618,0.9644814729690552,0.9159461259841919,0.9503712058067322,0.9018319845199585,0.46222618222236633,0.8710474371910095,0.7897456288337708,0.8428782820701599,0.9678228497505188,0.8603943586349487,0.9732349514961243
FLARETs_0004,0.9765872359275818,0.968632161617279,0.9810983538627625,0.9345219731330872,0.9535881280899048,0.8943392634391785,0.23872072994709015,0.785896360874176,0.9620935320854187,0.9166926741600037,0.9681782722473145,0.8936174511909485,0.9760408401489258
FLARETs_0016,0.9735178351402283,0.9620619416236877,0.9671525955200195,0.8911582231521606,0.9436855316162109,0.9471623301506042,0.8445587158203125,0.8436776995658875,0.6569088101387024,0.8982608318328857,0.9632759690284729,0.7051624655723572,0.9626468420028687
FLARETs_0022,0.9761349558830261,0.9553511142730713,0.9646214246749878,0.7147698998451233,0.9583379030227661,0.9339927434921265,0.8744087219238281,0.8883659243583679,1.0,0.7965765595436096,0.9436797499656677,0.5986354947090149,0.9591213464736938
