Name,Liver,R-Kidney,Spleen,Pancreas,Aorta,IVC,RAG,LAG,Gallbladder,Esophagus,Stomach,Duodenum,L-Kidney
FLARETs_0019,0.973999977,0.976000011,0.94599998,0.880999982,0.971000016,0.894999981,0.866999984,0.771000028,0.939999998,0.853999972,0.842000008,0.689999998,0.970000029
FLARETs_0023,0.97299999,0.961000025,0.985000014,0.910000026,0.961000025,0.887000024,0.902999997,0.921999991,0.93599999,0.88499999,0.958999991,0.852999985,0.541999996
FLARETs_0024,0.973999977,0.978999972,0.975000024,0.754999995,0.966000021,0.908999979,0.856000006,0.790000021,0.952000022,0.859000027,0.94599998,0.850000024,0.976999998
FLARETs_0011,0.977999985,0.967999995,0.981000006,0.856000006,0.952000022,0.936999977,0.885999978,0.884000003,0.944999993,0.906000018,0.931999981,0.698000014,0.968999982
FLARETs_0018,0.973999977,0.976000011,0.972000003,0.921000004,0.921999991,0.930999994,0.902999997,0.896000028,0.890999973,0.874000013,0.920000017,0.773000002,0.976000011
FLARETs_0001,0.977999985,0.961000025,0.980000019,0.910000026,0.959999979,0.953999996,0.851000011,0.878000021,0.782000005,0.870000005,0.972000003,0.86500001,0.976000011
FLARETs_0016,0.981999993,0.963999987,0.970000029,0.904999971,0.961000025,0.966000021,0.885999978,0.859000027,0.805000007,0.901000023,0.968999982,0.842000008,0.967000008
FLARETs_0027,0.973999977,0.964999974,0.986999989,0.888999999,0.933000028,0.888999999,0.850000024,0.88499999,0.930000007,0.893000007,0.971000016,0.856999993,0.966000021
FLARETs_0015,0.973999977,0.980000019,0.948000014,0.930999994,0.963,0.944000006,0.86500001,0.828999996,0.90200001,0.855000019,0.94599998,0.898000002,0.976000011
FLARETs_0030,0.981999993,0.975000024,0.977999985,0.936999977,0.964999974,0.947000027,0.867999971,0.848999977,0.953000009,0.827000022,0.927999973,0.925000012,0.972000003
FLARETs_0013,0.980000019,0.968999982,0.981000006,0.925999999,0.975000024,0.908999979,0.870999992,0.864000022,0.949000001,0.889999986,0.971000016,0.908999979,0.972000003
FLARETs_0012,0.98299998,0.961000025,0.967999995,0.89200002,0.967999995,0.896000028,0.893999994,0.92900002,0.954999983,0.917999983,0.967999995,0.921999991,0.957000017
FLARETs_0035,0.980000019,0.967000008,0.981999993,0.91900003,0.970000029,0.950999975,0.859000027,0.901000023,0.950999975,0.902999997,0.957000017,0.925000012,0.977999985
FLARETs_0006,0.976999998,0.980000019,0.978999972,0.931999981,0.970000029,0.935000002,0.933000028,0.915000021,,0.894999981,0.958999991,0.912,0.578000009
FLARETs_0037,0.980000019,0.976999998,0.981999993,0.930000007,0.976999998,0.959999979,0.620000005,0.001,0.93599999,0.90200001,0.963,0.908999979,0.968999982
FLARETs_0045,0.981000006,0.975000024,0.981000006,0.896000028,0.957000017,0.90200001,0.787999988,0.898999989,0.968999982,0.787999988,0.964999974,0.89200002,0.981000006
FLARETs_0017,0.970000029,0.976000011,0.967000008,0.884000003,0.967999995,0.883000016,0.904999971,0.916000009,0.921000004,0.896000028,0.878000021,0.870999992,0.976000011
FLARETs_0029,0.98299998,0.98299998,0.976999998,0.921000004,0.949000001,0.899999976,0.890999973,0.853999972,0.949000001,0.791000009,0.967999995,0.917999983,0.980000019
FLARETs_0026,0.976000011,0.971000016,0.978999972,0.916000009,0.971000016,0.944000006,0.85799998,0.888999999,0.947000027,0.851000011,0.964999974,0.847000003,0.981000006
FLARETs_0025,0.975000024,0.97299999,0.981000006,0.922999978,0.968999982,0.95599997,0.889999986,0.870000005,0.842000008,0.920000017,0.967000008,0.876999974,0.967999995
FLARETs_0028,0.976999998,0.98299998,0.985000014,0.916000009,0.97299999,0.94599998,0.852999985,0.915000021,0.893000007,0.90200001,0.971000016,0.916000009,0.98299998
FLARETs_0043,0.976000011,,0.981000006,0.931999981,0.964999974,0.958000004,0.898999989,0.925999999,0.950999975,0.815999985,0.963999987,0.926999986,0.973999977
FLARETs_0044,0.984000027,,0.981000006,0.912999988,0.939999998,0.948000014,,0.944000006,0.952000022,0.824000001,0.95599997,0.805000007,0.981999993
FLARETs_0008,0.981999993,0.976999998,0.976999998,0.906000018,0.966000021,0.841000021,0.916000009,0.893000007,,0.924000025,0.959999979,0.917999983,0.976999998
